ticker,have_days,expected_days,missing_days,is_full,first_day,last_day,lookback_days,generated_at
BCAL,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCAX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCE,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCH,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCIC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCPC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCRX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCSF,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BCYC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BDC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BDN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BDTX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BDX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BE,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BEAM,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BEKE,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BELFB,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BEN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BEP,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BEPC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BF.B,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BFC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BFH,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BFLY,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BFS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BFST,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BG,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BGC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BGS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BHC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BHE,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BHF,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BHP,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BHRB,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BHVN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BIDU,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BIIB,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BILI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BILL,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BIO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
